VCF0013  {0.0: '0. No Post-election interview data', 1.0: '1. Post-election interview data present'}
VCF0929  {0.0: '0. No Democratic candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0928); NA VCF0929'}
VCF0930  {0.0: '0. No Democratic candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0928); NA VCF0929'}
VCF0931  {0.0: '0. No Democratic candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0928); NA VCF0929'}
VCF0932  {0.0: '0. No Democratic candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0928); NA VCF0929'}
VCF0933  {0.0: '0. No Democratic candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0928); NA VCF0929'}
VCF0934  {0.0: '0. No Democratic candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0928); NA VCF0929-VCF935;'}
VCF0935  {0.0: '0. No Democratic candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0928); NA VCF0929'}
VCF0936  {0.0: '0. No Democratic candidate running', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0937  {0.0: '0. No Republican candidate running', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; no Post IW; Washington D.C.; telephone IW'}
VCF0938  {0.0: '0. No Republican candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0937); NA VCF0938'}
VCF0939  {0.0: '0. No Republican candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0937); NA VCF0938'}
VCF0940  {0.0: '0. No Republican candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0937); NA VCF0938'}
VCF0941  {0.0: '0. No Republican candidate running; no contact;', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0937); NA VCF0938'}
VCF0942  {0.0: '0. No Republican candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0937); NA VCF0938'}
VCF0943  {0.0: '0. No Republican candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0937); NA VCF0938'}
VCF0944  {0.0: '0. No Republican candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0937); NA VCF0938'}
VCF0945  {0.0: '0. No Republican candidate running', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0946  {0.0: '0. No contacts', 1.0: '1. One contact', 2.0: '2. Two contacts', 3.0: '3. Three contacts', 4.0: '4. Four contacts', 5.0: '5. Five contacts', 6.0: '6. Six contacts', 7.0: '7. Seven contacts', 8.0: '8. Incumbent not running', 9.0: '9. NA; DK; no Post IW; Washington D.C.;'}
VCF0946a  {0.0: '0. MD in VCF0946', 1.0: '1. Yes, contact', 5.0: '5. No, no contact'}
VCF0947  {0.0: '0. No contacts', 1.0: '1. One contact', 2.0: '2. Two contacts', 3.0: '3. Three contacts', 4.0: '4. Four contacts', 5.0: '5. Five contacts', 6.0: '6. Six contacts', 7.0: '7. Seven contacts', 8.0: '8. Incumbent not running or running unopposed', 9.0: '9. NA; DK; no Post IW; Washington D.C.; telephone'}
VCF0947a  {0.0: '0. MD in VCF0947', 1.0: '1. Yes, contact', 5.0: '5. No, no contact'}
VCF0948  {0.0: '0. No contacts', 1.0: '1. One contact', 2.0: '2. Two contacts', 3.0: '3. Three contacts', 4.0: '4. Four contacts', 5.0: '5. Five contacts', 6.0: '6. Six contacts', 7.0: '7. Seven contacts', 8.0: '8. Democrat not running', 9.0: '9. NA; DK; no Post IW; Washington D.C.; telephone'}
VCF0948a  {0.0: '0. MD in VCF0948', 1.0: '1. Yes, contact', 5.0: '5. No, no contact'}
VCF0949  {0.0: '0. No contacts', 1.0: '1. One contact', 2.0: '2. Two contacts', 3.0: '3. Three contacts', 4.0: '4. Four contacts', 5.0: '5. Five contacts', 6.0: '6. Six contacts', 7.0: '7. Seven contacts', 8.0: '8. Republican not running', 9.0: '9. NA; DK; no Post IW; Washington D.C.; telephone'}
VCF0949a  {0.0: '0. MD in VCF0949', 1.0: '1. Yes, contact', 5.0: '5. No, no contact'}
VCF0950  {0.0: '0. Incumbent not running', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0951  {0.0: '0. never (or DK/NA if) contacted incumbent;', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0952  {0.0: '0. never (or DK/NA if) contacted incumbent;', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0953  {0.0: '0. never (or DK/NA if) contacted incumbent;', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0954  {0.0: '0. never (or DK/NA if) contacted incumbent;', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0955  {0.0: '0. never (or DK/NA if) received response; never', 1.0: '1. Very satisfied', 2.0: '2. Somewhat satisfied', 4.0: '4. Not very satisfied', 5.0: '5. Not at all satisfied', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0956  {0.0: '0. Incumbent not running', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0957  {0.0: "0. Doesn't know (or DK/NA if knows) of anyone", 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0958  {0.0: '0. Person/group did not get (or DK/NA if got) a', 1.0: '1. Very satisfied (1978-1984: Yes; satisfied)', 2.0: '2. Somewhat satisfied', 4.0: '4. Not very satisfied (1978-1984: Somewhat dissatisfied)', 5.0: '5. Not at all satisfied (1978-1984: No; not satisfied)', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0959  {0.0: '0. Incumbent not running', 1.0: '1. Very helpful', 2.0: '2. Somewhat helpful', 3.0: '3. Not very helpful', 7.0: '7. Depends', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0960  {0.0: '0. Incumbent not running', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0961  {0.0: '0. No recent incumbent (1990, NJ01: 10 cases)', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. DK; NA; no Post IW; District of Columbia (1986)'}
VCF0962  {0.0: '0. Never (or DK/NA if) contacted incumbent; no recent', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. DK; NA; no Post IW; District of Columbia (1986)'}
VCF0963  {0.0: '0. Never (or DK/NA if) contacted incumbent; no recent', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. DK; NA; no Post IW; District of Columbia (1986)'}
VCF0964  {0.0: '0. Never (or DK/NA if) contacted incumbent; no recent', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. DK; NA; no Post IW; District of Columbia (1986)'}
VCF0965  {0.0: '0. Never (or DK/NA if) contacted incumbent; no recent', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. DK; NA; no Post IW; District of Columbia (1986)'}
VCF0966  {0.0: '0. Never (or DK/NA if) received response; never (or', 1.0: '1. Very satisfied', 2.0: '2. Somewhat satisfied', 4.0: '4. Not very satisfied', 5.0: '5. Not at all satisfied', 9.0: '9. DK; NA; no Post IW; District of Columbia (1986)'}
VCF0967  {0.0: '0. No recent incumbent (1990, NJ01: 10 cases)', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. DK; NA; no Post IW; District of Columbia (1986)'}
VCF0968  {0.0: "0. Doesn't know (or DK/NA if knows) of anyone else; no", 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. DK; NA; no Post IW; District of Columbia (1986)'}
VCF0969  {0.0: '0. Person/group did not get (of DK/NA if got) a', 1.0: '1. Very satisfied (1978,1980: Yes; satisfied)', 2.0: '2. Somewhat satisfied', 4.0: '4. Not very satisfied (1978,1980: Somewhat dissatisfied)', 5.0: '5. Not at all satisfied (1978,1980: No; not satisfied)', 9.0: '9. DK; NA; no Post IW; District of Columbia (1986)'}
VCF0970  {0.0: '0. No recent incumbent (1990, NJ01: 10 cases)', 1.0: '1. Very helpful', 2.0: '2. Somewhat helpful', 3.0: '3. Not very helpful', 7.0: '7. Depends', 9.0: '9. DK; NA; no Post IW; District of Columbia'}
VCF0971  {0.0: '0. No recent incumbent (1990, NJ01: 10 cases)', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. DK; NA; no Post IW; District of Columbia (1986)'}
VCF0972  {1.0: '1. Yes', 5.0: '5. No; DK', 9.0: '9. NA; no Post IW; Washington D.C.; form II,III,'}
VCF0973  {1.0: '1. NAME:valid, PARTY: correct', 2.0: '2. NAME:valid, PARTY: incorrect', 3.0: '3. NAME:valid, PARTY: DK/NA', 4.0: '4. NAME:invalid, PARTY: any', 5.0: '5. NAME:invalid, PARTY: DK/NA', 6.0: '6. NAME:DK/NA, PARTY: any', 7.0: '7. NAME:DK, PARTY: DK/NA;', 9.0: '9. Abbrev. telephone IW (1984); no Post IW;'}
VCF0974  {1.0: '1. NAME:valid, PARTY: correct', 2.0: '2. NAME:valid, PARTY: incorrect', 3.0: '3. NAME:valid, PARTY: DK/NA', 4.0: '4. NAME:invalid, PARTY: any', 5.0: '5. NAME:invalid, PARTY: DK/NA', 6.0: '6. NAME:DK/NA, PARTY: any', 7.0: '7. NAME:DK, PARTY: DK/NA;', 9.0: '9. Abbrev. telephone IW (1984); no Post IW;'}
VCF0975  {1.0: '1. NAME:valid, PARTY: correct', 2.0: '2. NAME:valid, PARTY: incorrect', 3.0: '3. NAME:valid, PARTY: DK/NA', 4.0: '4. NAME:invalid, PARTY: any', 5.0: '5. NAME:invalid, PARTY: DK/NA', 6.0: '6. NAME:DK/NA, PARTY: any;', 7.0: '7. NAME:DK, PARTY: DK/NA;', 9.0: '9. abbrev. telephone IW (1984); no Post IW;'}
VCF0976  {0.0: "00. R's recall of any name(s) incorrect/DK/NA; any party", 10.0: "10. R's recall correct for one name; party mention", 11.0: "11. R's recall correct for one name; party mention correct", 20.0: "20. R's recall correct for 2 names; both party mentions", 21.0: "21. R's recall correct for 2 names; one party mention", 22.0: "22. R's recall correct for 2 names; both party mentions", 30.0: "30. R's recall correct for 3 names; all party mentions", 31.0: "31. R's recall correct for 3 names; one party mention", 32.0: "32. R's recall correct for 3 names; two party mentions", 33.0: "33. R's recall correct for 3 names; all party mentions", 99.0: '99. Abbrev. telephone IW (1984); no Post IW ;'}
VCF0977  {1.0: '1. Yes, candidate was/ one candidate was/ (some years:', 3.0: "3. No, candidate wasn't/neither candidate was", 5.0: '5. DK', 9.0: '9. NA; no major party candidate running; no Post'}
VCF0978  {1.0: '1. CORRECT: correct incumbency status; correct candidate', 2.0: '2. INCORRECT: incorrect incumbency status; incorrect', 9.0: '9. DK if incumbent; DK which is incumbent; NA if'}
VCF0980  {0.0: '0. Zero negative mentions (dislikes)', 1.0: '1. One negative mention (dislikes)', 2.0: '2. Two negative mentions (dislikes)', 3.0: '3. Three negative mentions (dislikes)', 4.0: '4. Four or more negative mentions (dislikes)', 6.0: "6. 'I don't know anything about this candidate'", 7.0: '7. DK if liked anything about candidate; liked', 8.0: "8. No Democratic candidate in R's district (includes", 9.0: '9. NA if liked anything about candidate; liked'}
VCF0981  {0.0: '0. Zero negative mentions (dislikes)', 1.0: '1. One negative mention (dislikes)', 2.0: '2. Two negative mentions (dislikes)', 3.0: '3. Three negative mentions (dislikes)', 4.0: '4. Four or more negative mentions (dislikes)', 6.0: "6. 'I don't know anything about this candidate'", 7.0: '7. DK if disliked anything about candidate; disliked', 8.0: "8. No Democratic candidate in R's district (includes", 9.0: '9. NA if disliked anything about candidate; disliked'}
VCF0982  {-4.0: '-4. maximum negative', 0.0: '0. neutral', 4.0: '+4. maximum positive', 99.0: '99. MD (codes 6-9 in VCF0980,VCF0981)'}
VCF0983  {0.0: '0. Zero mentions', 8.0: '8. Eight or more mentions', 99.0: '99. MD (codes 6-9 in VCF0980,VCF0981)'}
VCF0984  {0.0: '0. Zero positive mentions (likes)', 1.0: '1. One positive mention (likes)', 2.0: '2. Two positive mentions (likes)', 3.0: '3. Three positive mentions (likes)', 4.0: '4. Four or more positive mentions (likes)', 6.0: "6. 'I don't know anything about this candidate'", 7.0: '7. DK if liked anything about candidate; liked something', 8.0: "8. No Republican candidate in R's district (includes", 9.0: '9. NA if liked anything about candidate; liked'}
VCF0985  {0.0: '0. Zero negative mentions (dislikes)', 1.0: '1. One negative mention (dislikes)', 2.0: '2. Two negative mentions (dislikes)', 3.0: '3. Three negative mentions (dislikes)', 4.0: '4. Four or more negative mentions (dislikes)', 6.0: "6. 'I don't know anything about this candidate'", 7.0: '7. DK if disliked anything about candidate; disliked', 8.0: "8. No Republican candidate in R's district (includes", 9.0: '9. NA if disliked anything about candidate; disliked'}
VCF0986  {-4.0: '-4. Maximum negative', 0.0: '0. Neutral', 4.0: '+4. Maximum positive', 99.0: '99. MD (codes 6-9 in VCF0984,VCF0985)'}
VCF0987  {0.0: '0. Zero mentions', 8.0: '8. Eight or more mentions', 99.0: '99. MD (codes 6-9 in VCF0984,VCF0985)'}
VCF0988  {-8.0: '-8. Maximum Republican', 0.0: '0. Neutral', 8.0: '+8. Maximum Democratic', 999.0: '999. MD (codes 6-9 in any of: VCF0980,VCF0981,'}
VCF0989  {0.0: '0. Zero mentions', 16.0: '16. Sixteen or more mentions', 99.0: '99. MD (codes 6-9 in any of: VCF0980,VCF0981,'}
VCF0990  {-8.0: '-8. Eight or more Republican mentions, no Democratic', 8.0: '+8. Eight or more Democratic mentions, no Republican', 999.0: '999. MD (codes 6-9 in any of: VCF0980,VCF0981,'}
VCF0991  {0.0: '0. No running incumbent (includes Washington D.C.)', 1.0: '1. Approve', 5.0: '5. Disapprove', 8.0: '8. DK', 9.0: '9. NA; no Post IW; incorrect district assignment ;'}
VCF0992  {1.0: '1. Approve', 5.0: '5. Disapprove', 8.0: '8. DK; pro-con; both', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984)'}
VCF0993  {0.0: '0. Zero positive mentions (likes)', 1.0: '1. One positive mention (likes)', 2.0: '2. Two positive mentions (likes)', 3.0: '3. Three positive mentions (likes)', 4.0: '4. Four or more positive mentions (likes)', 6.0: "6. 'I don't know anything about this candidate'", 7.0: '7. DK if liked anything about candidate; liked something', 8.0: "8. No running incumbent candidate in R's district", 9.0: '9. NA if liked anything about candidate; liked'}
VCF0994  {0.0: '0. Zero negative mentions (dislikes)', 1.0: '1. One negative mention (dislikes)', 2.0: '2. Two negative mentions (dislikes)', 3.0: '3. Three negative mentions (dislikes)', 4.0: '4. Four or more negative mentions (dislikes)', 6.0: "6. 'I don't know anything about this candidate'", 7.0: '7. DK if disliked anything about candidate; disliked', 8.0: "8. No running incumbent candidate in R's district", 9.0: '9. NA if disliked anything about candidate; disliked'}
VCF0995  {-4.0: '-4. Maximum negative', 0.0: '0. Neutral', 4.0: '+4. Maximum positive', 99.0: '99. MD (codes 6-9 in VCF0993,VCF0994)'}
VCF0996  {0.0: '0. Zero mentions', 8.0: '8. Eight or more mentions', 99.0: '99. MD (codes 6-9 in VCF0993,VCF0994)'}
VCF0997  {0.0: '0. Zero positive mentions (likes)', 1.0: '1. One positive mention (likes)', 2.0: '2. Two positive mentions (likes)', 3.0: '3. Three positive mentions (likes)', 4.0: '4. Four or more positive mentions (likes)', 6.0: "6. 'I don't know anything about this candidate'", 7.0: '7. DK if liked anything about candidate; liked', 8.0: "8. No running incumbent candidate in R's district", 9.0: '9. NA if liked anything about candidate; liked'}
VCF0998  {0.0: '0. Zero negative mentions (dislikes)', 1.0: '1. One negative mention (dislikes)', 2.0: '2. Two negative mentions (dislikes)', 3.0: '3. Three negative mentions (dislikes)', 4.0: '4. Four or more negative mentions (dislikes)', 6.0: "6. 'I don't know anything about this candidate'", 7.0: '7. DK if disliked anything about candidate; disliked', 8.0: "8. No running incumbent candidate in R's district", 9.0: '9. NA if disliked anything about candidate; disliked'}
VCF0999  {-4.0: '-4. Maximum negative', 0.0: '0. Neutral', 4.0: '+4. Maximum positive', 99.0: '99. MD (codes 6-9 in VCF0997,VCF0998)'}
VCF1000  {0.0: '0. Zero mentions', 8.0: '8. Eight or more mentions', 99.0: '99. MD (codes 6-9 in VCF0997,VCF0998)'}
VCF1001  {-8.0: '-8. Maximum challenger', 0.0: '0. Neutral', 8.0: '+8. Maximum incumbent', 999.0: '999. MD (codes 6-9 in any of: VCF0993,VCF0994,'}
VCF1002  {0.0: '0. Zero mentions', 16.0: '16. Sixteen or more mentions', 99.0: '99. MD (codes 6-9 in any of: VCF0993,VCF0994,'}
VCF1003  {-8.0: '-8. Eight or more challenger mentions, no incumbent', 8.0: '+8. Eight or more incumbent mentions, no challenger', 999.0: '999. MD (codes 6-9 in any of: VCF0993,VCF0994,'}
VCF1004  {1.0: '1. R is:Democrat; INCUMBENT:Democrat', 2.0: '2. R is:Republican; INCUMBENT:Republican', 3.0: '3. R is:Democrat; INCUMBENT:Republican', 4.0: '4. R is:Republican; INCUMBENT:Democrat', 9.0: '9. R does not have major party partisanship or NA if has'}
VCF1005  {1.0: '1. R Voted: R is partisan of same party as incumbent', 2.0: '2. R Voted: R is partisan of same major party as', 3.0: '3. R is major party partisan but R did not vote, DK/NA', 9.0: '9. R does not have major party partisanship or NA if has'}
VCF1006  {31.0: '31. Democratic candidate in race without running', 32.0: '32. Republican candidate in race without running', 33.0: '33. Democratic incumbent', 34.0: '34. Republican incumbent', 35.0: '35. Democratic challenger to Republican incumbent', 36.0: '36. Republican challenger to Democratic incumbent', 39.0: '39. Incumbent Independent/liberal/conservative/minor', 80.0: '80. Nonincumbent Independent/liberal/conservative/minor', 97.0: '97. Name given not on candidate list for House', 99.0: '99. R says s/he remembers names but when asked for name'}
VCF1007  {31.0: '31. Democratic candidate in race without running', 32.0: '32. Republican candidate in race without running', 33.0: '33. Democratic incumbent', 34.0: '34. Republican incumbent', 35.0: '35. Democratic challenger to Republican incumbent', 36.0: '36. Republican challenger to Democratic incumbent', 39.0: '39. Incumbent Independent/liberal/conservative/minor', 80.0: '80. Nonincumbent Independent/liberal/conservative/minor', 97.0: '97. Name given not on candidate list for House', 99.0: '99. R says s/he remembers names but when asked for name'}
VCF1008  {31.0: '31. Democratic candidate in race without running', 32.0: '32. Republican candidate in race without running', 33.0: '33. Democratic incumbent', 34.0: '34. Republican incumbent', 35.0: '35. Democratic challenger to Republican incumbent', 36.0: '36. Republican challenger to Democratic incumbent', 39.0: '39. Incumbent Independent/liberal/conservative/minor', 80.0: '80. Nonincumbent Independent/liberal/conservative/minor', 97.0: '97. Name given not on candidate list for House', 99.0: '99. R says s/he remembers names but when asked for name'}
